"label","run_id","fill","cost","concurrency","buy_sol","n_fired","n_closed","n_open","win_rate","total_pnl_sol","expectancy_sol","median_pnl_pct","mean_pnl_pct","p90_pnl_pct","worst_pnl_pct","profit_factor","median_hold_s","avg_hold_s","n_exit_metrics","n_exit_stop_loss","n_exit_dead","elapsed_s","since","until"
"L7 arm3 r1.5 sl6","3b4b5eae-6217-40bb-9880-5cfef5915937","first","pumpfun_fee_only","4","1","1854","1854","0","0.5167","-12.4031","-0.00669","0.553","-0.669","13.112","-71.297","0.8624","9.0","17.68","1086","768","0","381.1","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"L8 arm5 r3 sl8 held300","5e7d68f2-533e-43e0-b735-edbd3719ac6e","first","pumpfun_fee_only","4","1","1652","1652","0","0.5127","-12.6232","-0.00764","1.271","-0.764","16.201","-71.297","0.8797","16.0","30.62","884","768","0","351.3","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"L9 arm5 r3 sl8 conc12","662af378-d1b8-4dcc-b376-5e01b571405f","first","pumpfun_fee_only","12","1","1654","1654","0","0.5103","-14.2019","-0.00859","0.851","-0.859","15.822","-71.297","0.8625","16.0","26.30","902","752","0","351.4","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"L10 arm5 r3 sl8 conc12 one-shot","65ff877f-5172-4a97-92ea-df8506a1c2f8","first","pumpfun_fee_only","12","1","451","451","0","0.5211","-0.3771","-0.00084","1.391","-0.084","17.039","-26.699","0.9861","16.0","27.79","249","202","0","401.1","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"V0 base no rise gate","143d03f4-0dac-4b77-8e34-fda469b9b9ee","first","pumpfun_fee_only","12","1","451","451","0","0.5388","0.5992","0.00133","2.781","0.133","17.180","-26.699","1.0230","15.0","25.41","257","194","0","270.8","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"V1 rise<=1","0951d982-210e-416c-8708-03a562acd31f","first","pumpfun_fee_only","12","1","280","280","0","0.5179","-2.1154","-0.00756","0.969","-0.756","16.567","-40.411","0.8767","20.0","30.34","155","125","0","300.8","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"V2 rise<=2","d117a7a1-47f3-4590-8423-443e4bd4425d","first","pumpfun_fee_only","12","1","317","317","0","0.5237","-1.7080","-0.00539","2.198","-0.539","16.567","-40.411","0.9124","19.0","29.28","175","142","0","290.9","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"V3 rise<=3","eccbeb72-f19f-4ef4-b815-bacd01e0be21","first","pumpfun_fee_only","12","1","352","352","0","0.4886","-4.7691","-0.01355","-1.429","-1.355","16.188","-40.411","0.7935","18.0","28.55","184","168","0","281.1","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"V4 rise<=1 trail1.5","8680793f-6129-4e2d-8315-1b85c4317e2d","first","pumpfun_fee_only","12","1","280","280","0","0.5071","-1.5635","-0.00558","0.259","-0.558","14.653","-28.415","0.8907","15.0","24.70","157","123","0","411.5","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"V5 rise<=1 held300","bd6b1052-9d56-454a-b4d6-b4c587ed7667","first","pumpfun_fee_only","12","1","280","280","0","0.5214","-1.5197","-0.00543","1.938","-0.543","16.680","-40.411","0.9117","21.0","35.27","155","125","0","471.1","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"V6 rise<=1 WORST fill","8310c046-5c3c-4ac6-b786-6be8cb4a8438","worst","pumpfun_fee_only","12","1","280","280","0","0.4821","-11.7719","-0.04204","-0.887","-4.204","14.808","-89.739","0.5218","20.0","30.5","150","130","0","522.5","2026-07-25T00:00:00Z","2026-07-28T00:00:00Z"
"O0 OOS V0","4d9029f5-610c-403f-b6fd-9adb3595e83f","first","pumpfun_fee_only","12","1","468","468","0","0.5769","-0.8472","-0.00181","2.880","-0.181","14.458","-85.761","0.9666","12.0","22.35","284","184","0","521","2026-07-22T00:00:00Z","2026-07-25T00:00:00Z"
"O1 OOS V0 WORST fill","a3e07479-62ee-4c98-bc8d-86c93677d376","worst","pumpfun_fee_only","12","1","468","468","0","0.5021","-18.0939","-0.03866","0.057","-3.866","12.731","-90.520","0.5255","12.0","22.60","266","202","0","491.1","2026-07-22T00:00:00Z","2026-07-25T00:00:00Z"
"O2 OOS V0 REENTRY on","2f853cb0-72c1-4022-acb7-920f31e161f0","first","pumpfun_fee_only","12","1","1883","1883","0","0.5369","-19.0766","-0.01013","1.942","-1.013","14.458","-87.742","0.8309","12.0","21.65","1061","822","0","631.2","2026-07-22T00:00:00Z","2026-07-25T00:00:00Z"
"O3 OOS today-rule (unarmed r3 sl25 stall15)","f61d779a-7c75-474c-9050-29ec2a926af6","first","pumpfun_fee_only","4","1","540","540","0","0.3444","-3.4900","-0.00646","-1.970","-0.646","7.307","-18.384","0.7542","2.0","3.17","540","0","0","531.2","2026-07-22T00:00:00Z","2026-07-25T00:00:00Z"
"V64-0 base 0.2 impact","4621fa5e-bed1-4980-978a-408fedba98f1","first","pumpfun_impact","4","0.2","2219","2215","4","0.2862302483069977","-15.145479833943682","-0.0068376884126156575","","","","","0.5602882559623441","6.0","11.846952595936795","2215","0","0","1923","2026-07-22T18:47:00Z","2026-07-27T16:08:00Z"
"N0 dev13 base","00b690ee-e630-456b-a8b7-7b6bf11ce904","first","pumpfun_impact","4","0.3","143","143","0","0.5105","0.9514","0.00665","0.745","2.218","25.774","-66.975","1.2866","32.0","44.45","143","0","0","60.2","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"N1 dev13 dip 25","36be5f6b-1fa7-46e1-aae7-dead6db4a8ed","first","pumpfun_impact","4","0.3","74","74","0","0.5946","1.2029","0.01625","2.949","5.418","36.847","-60.204","1.6707","39.0","45.09","74","0","0","60.1","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"N2 dev13 arm8 r4 sl10","52033c90-747c-43b3-a5f9-458798e565c7","first","pumpfun_impact","4","0.3","206","206","0","0.3932","-1.7872","-0.00868","-14.612","-2.892","23.184","-75.874","0.7284","12.0","17.48","87","119","0","80.1","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"N3 dev13 dip25 arm8 r4 sl10","cc0b028e-a0b4-44ca-b796-915bf245103a","first","pumpfun_impact","4","0.3","103","103","0","0.3592","-0.7794","-0.00757","-14.812","-2.522","22.922","-75.874","0.7843","9.0","15.91","38","65","0","80.1","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"N4 dev13 dip25 arm8 one-shot","a2880b6d-5d99-40ec-810c-6263a06d915f","first","pumpfun_impact","4","0.3","39","39","0","0.4359","0.5706","0.01463","-14.562","4.877","29.812","-41.045","1.4581","7.0","10.90","17","22","0","50.1","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"N5 dev13 dip25 arm8 WORST fill","d63bf410-8981-47ff-87dc-fb0a1427e7f7","worst","pumpfun_impact","4","0.3","103","103","0","0.3107","-2.0329","-0.01974","-16.102","-6.579","20.966","-81.622","0.5370","8.0","16.01","34","69","0","80.1","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"M1 N1 WORST fill","620cfcbf-70a6-4ce5-889d-b74cfad973b6","worst","pumpfun_impact","4","0.3","72","72","0","0.5139","0.7525","0.01045","0.469","3.484","41.101","-87.000","1.3517","56.0","49.49","72","0","0","70.3","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"M2 N1 SIGNAL fill","ba86155d-c4fc-4b1a-9eae-5908a5958b4f","signal","pumpfun_impact","4","0.3","74","74","0","0.6351","1.7886","0.02417","5.087","8.057","42.270","-60.008","2.1265","32.0","43.69","74","0","0","80.1","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"M3 N1 dip 20","a85c9810-9d53-464c-8bc6-806e1272fbcc","first","pumpfun_impact","4","0.3","112","112","0","0.5625","0.7426","0.00663","1.743","2.210","26.386","-66.975","1.2431","35.0","45.29","112","0","0","80.1","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"M4 N1 dip 30","89d8a2ca-b075-4eed-ab32-ba9c9f9001a3","first","pumpfun_impact","4","0.3","50","50","0","0.58","0.8610","0.01722","3.994","5.740","42.527","-60.204","1.6873","28.0","39.92","50","0","0","70.1","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"M5 N1 one-shot","b0a216d2-e277-4229-957c-be756f6daf79","first","pumpfun_impact","4","0.3","39","39","0","0.6667","1.2911","0.03311","2.949","11.035","42.527","-60.008","2.5478","23.0","36.38","39","0","0","50.1","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"M6 N1 conc 12","a614f14e-39a4-479b-a5a1-fe340e87eeb1","first","pumpfun_impact","12","0.3","74","74","0","0.5946","1.2029","0.01625","2.949","5.418","36.847","-60.204","1.6707","39.0","45.09","74","0","0","80.1","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"M7 N1 unarmed (64hP literal)","a752b901-b531-4c98-8468-e119b889000e","first","pumpfun_impact","4","0.3","116","116","0","0.2672","-0.3401","-0.00293","-8.308","-0.977","20.424","-75.874","0.8780","5.0","9.47","116","0","0","70.1","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"V64b-1 armed g3","1d7f97ac-6027-4898-9df4-fe37cfcec681","first","pumpfun_impact","4","0.2","3582","3582","0","0.5606","-41.0856","-0.01147","1.582","-5.735","26.304","-93.400","0.5987","40.0","46.85","3582","0","0","2275","2026-07-22T18:47:00Z","2026-07-27T16:08:00Z"
"C1 control-band N1 geometry","1635af80-7585-42fa-adc2-981691593fe9","first","pumpfun_impact","4","0.3","68","68","0","0.5294","0.2076","0.00305","0.772","1.018","35.240","-88.158","1.1136","29.0","38.65","68","0","0","70.2","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"C1 control-band N1 geometry","c84886f9-e035-4f5e-81ee-2837a8a73b0f","first","pumpfun_impact","4","0.3","68","68","0","0.6471","-0.2053","-0.00302","4.146","-1.006","26.722","-90.629","0.8948","32.0","42.97","68","0","0","50.1","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"S0 N1 control (no ladder)","e441348f-5a4b-4776-832d-0efc7477036d","first","pumpfun_impact","4","0.3","81","81","0","0.6049","1.2758","0.01575","3.512","5.250","32.593","-59.937","1.6604","39.0","45.46","81","0","0","20.6","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"S1 bank 50% @ +10","fac2478f-81f6-414c-8de5-7544f236daba","first","pumpfun_impact","4","0.3","81","81","0","0.7531","0.8043","0.00993","7.201","3.310","25.226","-59.937","1.4454","39.0","45.46","81","0","0","10","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"S2 bank 50% @ +15","a01f7213-df21-4c34-bd80-ab3e48e16f33","first","pumpfun_impact","4","0.3","81","81","0","0.6543","0.9609","0.01186","7.753","3.954","28.543","-59.937","1.5057","39.0","45.79","81","0","0","10","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"S3 bank 50% @ +25","b406e960-a150-4280-b123-627ff52ab96e","first","pumpfun_impact","4","0.3","81","81","0","0.6049","0.8543","0.01055","3.512","3.516","33.688","-59.937","1.4422","39.0","45.46","81","0","0","10","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
"S4 bank 30% @ +15","cc866e64-409a-4a6d-8a57-4d897b2bd9d8","first","pumpfun_impact","4","0.3","81","81","0","0.6543","1.1066","0.01366","6.023","4.554","30.470","-59.937","1.5824","39.0","45.79","81","0","0","10","2026-07-22T00:00:00Z","2026-07-28T00:00:00Z"
